symbol,name,price,change,change_percentage,market_cap,trailing_p_e,revenue,volume,total_cash,total_debt,five_year_average_dividend_yield,sector,industry
9988.HK,Alibaba Group Holding Limited,258.000,-3.000,-1.15%,5.584T,28.06,N/A,15.32M,N/A,N/A,N/A,Consumer Cyclical,Internet Retail
0700.HK,Tencent Holdings Limited,503.500,-1.500,-0.30%,4.825T,41.33,N/A,13.227M,N/A,N/A,0.24,Communication Services,Internet Content & Information
1398.HK,Industrial and Commercial Bank of China Limited,3.990,-0.030,-0.75%,1.844T,4.33,N/A,319.288M,N/A,N/A,5.51,Financial Services,Banks—Diversified
2318.HK,"Ping An Insurance (Group) Company of China, Ltd.",80.350,-0.100,-0.12%,1.554T,10.41,N/A,18.68M,N/A,N/A,1.87,Financial Services,Insurance—Life
3690.HK,Meituan Dianping,232.000,-6.600,-2.77%,1.364T,346.04,N/A,15.986M,N/A,N/A,N/A,Consumer Cyclical,Internet Retail
0939.HK,China Construction Bank Corporation,5.020,-0.040,-0.79%,1.274T,4.51,N/A,219.084M,N/A,N/A,5.54,Financial Services,Banks—Diversified
2628.HK,China Life Insurance Company Limited,17.100,-0.100,-0.58%,1.2T,8.36,N/A,33.552M,N/A,N/A,1.96,Financial Services,Insurance—Life
3968.HK,"China Merchants Bank Co., Ltd.",37.600,+0.250,+0.67%,1.044T,9.24,N/A,8.704M,N/A,N/A,3.50,Financial Services,Banks—Regional
0941.HK,China Mobile Limited,50.350,+0.400,+0.80%,1.029T,8.59,N/A,12.562M,N/A,N/A,4.00,Communication Services,Telecom Services
1288.HK,Agricultural Bank of China Limited,2.400,-0.010,-0.41%,1.217T,3.84,N/A,76.046M,N/A,N/A,6.22,Financial Services,Banks—Diversified
3988.HK,Bank of China Limited,2.400,-0.010,-0.41%,964.714B,3.84,N/A,249.32M,N/A,N/A,6.18,Financial Services,Banks—Diversified
1299.HK,AIA Group Limited,77.650,+1.000,+1.30%,938.866B,22.23,43.09B,17.351M,87.25B,9.39B,1.46,Financial Services,Insurance—Life
9618.HK,"JD.com, Inc.",282.200,-6.200,-2.15%,877.721B,34.93,N/A,3.835M,N/A,N/A,N/A,Consumer Cyclical,Internet Retail
